lens_type,stage,store_location,inventory_available,elapsed_hours,sla_hours,days_in_current_stage,breached
Single Vision,Prescription Verified,Mumbai,0,43,24,0,1
Bifocal,Production,Kolkata,1,46,48,4,1
Bifocal,Packed,Delhi,1,2,48,3,0
Progressive,Packed,Kolkata,1,99,72,5,1
Bifocal,Production,Kolkata,1,91,48,3,1
Progressive,Shipped,Kolkata,1,38,72,0,0
Progressive,Production,Mumbai,1,45,72,5,1
Bifocal,Shipped,Durgapur,0,76,48,0,1
Progressive,Packed,Kolkata,1,58,72,5,1
Single Vision,Packed,Bangalore,0,47,24,0,1
Progressive,Order Placed,Mumbai,0,16,72,4,1
Bifocal,Order Placed,Bangalore,0,78,48,1,1
Progressive,Production,Mumbai,0,58,72,1,1
Single Vision,QC,Delhi,0,54,24,0,0
Progressive,Order Placed,Mumbai,0,33,72,5,1
Single Vision,Lens Allocated,Mumbai,1,43,24,0,0
Single Vision,Prescription Verified,Durgapur,0,76,24,1,1
Single Vision,Lens Allocated,Mumbai,0,68,24,5,1
Progressive,Packed,Bangalore,0,42,72,5,1
Single Vision,QC,Durgapur,0,93,24,2,0
Progressive,Packed,Kolkata,0,92,72,3,1
Bifocal,Production,Mumbai,0,36,48,4,1
Bifocal,Production,Mumbai,0,25,48,2,1
Single Vision,Packed,Durgapur,0,80,24,5,0
Single Vision,QC,Delhi,0,41,24,0,0
Single Vision,Order Placed,Mumbai,0,8,24,2,0
Single Vision,Production,Bangalore,0,10,24,5,1
Progressive,QC,Mumbai,0,23,72,4,1
Bifocal,Lens Allocated,Delhi,1,2,48,1,0
Progressive,Order Placed,Kolkata,0,90,72,5,1
Bifocal,Prescription Verified,Mumbai,1,70,48,0,0
Bifocal,Order Placed,Delhi,0,75,48,3,1
Bifocal,Lens Allocated,Mumbai,0,67,48,2,1
Single Vision,Order Placed,Bangalore,1,46,24,2,0
Bifocal,Packed,Kolkata,1,67,48,3,1
Single Vision,Lens Allocated,Kolkata,1,88,24,5,1
Bifocal,Packed,Durgapur,0,19,48,3,1
Single Vision,Lens Allocated,Mumbai,1,25,24,2,0
Bifocal,Prescription Verified,Durgapur,1,40,48,0,0
Progressive,Order Placed,Bangalore,0,1,72,3,1
Bifocal,Shipped,Delhi,0,28,48,5,1
Progressive,Prescription Verified,Durgapur,1,46,72,5,0
Single Vision,Production,Delhi,0,8,24,5,1
Bifocal,Lens Allocated,Delhi,1,38,48,4,0
Progressive,Shipped,Durgapur,1,44,72,1,0
Bifocal,QC,Mumbai,1,19,48,0,0
Progressive,Shipped,Delhi,1,21,72,4,0
Progressive,Lens Allocated,Delhi,0,66,72,5,1
Single Vision,Order Placed,Delhi,0,9,24,1,0
Bifocal,Lens Allocated,Kolkata,0,99,48,5,1
Bifocal,Prescription Verified,Bangalore,1,82,48,3,1
Single Vision,Order Placed,Bangalore,1,72,24,3,1
Bifocal,Shipped,Delhi,1,51,48,3,1
Single Vision,Packed,Bangalore,0,7,24,1,0
Bifocal,Packed,Mumbai,0,21,48,2,0
Single Vision,Lens Allocated,Durgapur,1,24,24,4,1
Bifocal,Shipped,Delhi,0,17,48,3,1
Progressive,Order Placed,Kolkata,1,73,72,1,0
Single Vision,Shipped,Durgapur,0,64,24,2,1
Single Vision,Order Placed,Kolkata,0,89,24,0,0
Progressive,Packed,Durgapur,1,64,72,4,1
Single Vision,Order Placed,Durgapur,0,31,24,3,1
Progressive,QC,Kolkata,0,51,72,3,1
Single Vision,Shipped,Mumbai,1,4,24,3,0
Single Vision,Lens Allocated,Mumbai,0,70,24,2,1
Bifocal,Prescription Verified,Kolkata,1,36,48,2,0
Progressive,Packed,Kolkata,0,62,72,2,1
Single Vision,QC,Kolkata,1,41,24,3,1
Bifocal,Lens Allocated,Delhi,0,91,48,2,1
Single Vision,Prescription Verified,Kolkata,0,37,24,1,1
Single Vision,Order Placed,Bangalore,0,49,24,2,1
Single Vision,Packed,Mumbai,1,88,24,1,0
Bifocal,Packed,Kolkata,1,67,48,0,0
Progressive,Production,Kolkata,0,59,72,5,1
Bifocal,Lens Allocated,Kolkata,1,83,48,3,1
Bifocal,Lens Allocated,Durgapur,1,16,48,0,0
Single Vision,Packed,Delhi,0,72,24,5,1
Single Vision,Order Placed,Delhi,0,64,24,5,1
Bifocal,Shipped,Bangalore,1,41,48,5,1
Single Vision,Order Placed,Kolkata,1,93,24,2,0
Single Vision,Order Placed,Mumbai,1,84,24,3,1
Bifocal,Packed,Bangalore,0,46,48,2,1
Bifocal,Order Placed,Bangalore,0,19,48,2,0
Progressive,Prescription Verified,Durgapur,1,74,72,2,1
Single Vision,Production,Mumbai,0,91,24,0,1
Bifocal,Shipped,Bangalore,1,31,48,4,0
Bifocal,Lens Allocated,Kolkata,0,87,48,2,1
Progressive,Production,Durgapur,1,71,72,4,0
Progressive,Prescription Verified,Mumbai,1,98,72,3,1
Single Vision,Order Placed,Kolkata,1,42,24,5,1
Progressive,Prescription Verified,Durgapur,1,86,72,2,1
Bifocal,Lens Allocated,Bangalore,0,94,48,1,1
Bifocal,QC,Bangalore,1,33,48,5,1
Progressive,Order Placed,Mumbai,0,73,72,3,1
Bifocal,Packed,Kolkata,0,6,48,2,1
Progressive,Packed,Delhi,1,24,72,1,0
Single Vision,Production,Durgapur,0,84,24,3,1
Progressive,Order Placed,Durgapur,0,75,72,5,1
Single Vision,Packed,Mumbai,0,30,24,4,1
Bifocal,QC,Delhi,1,50,48,1,1
Single Vision,Production,Delhi,1,81,24,5,1
Bifocal,Production,Mumbai,0,97,48,0,1
Progressive,Lens Allocated,Delhi,0,44,72,0,0
Bifocal,Prescription Verified,Delhi,1,28,48,5,0
Progressive,Shipped,Bangalore,1,27,72,0,0
Bifocal,Lens Allocated,Bangalore,1,74,48,1,0
Progressive,QC,Durgapur,0,57,72,2,1
Single Vision,Order Placed,Bangalore,1,89,24,2,0
Bifocal,Shipped,Delhi,1,85,48,1,0
Single Vision,Packed,Delhi,0,31,24,3,1
Progressive,Packed,Kolkata,0,82,72,1,1
Single Vision,Shipped,Delhi,0,7,24,2,0
Single Vision,QC,Bangalore,1,28,24,1,0
Single Vision,Shipped,Delhi,1,32,24,1,0
Bifocal,Shipped,Mumbai,0,7,48,2,0
Bifocal,Production,Kolkata,0,83,48,1,1
Bifocal,Order Placed,Durgapur,1,59,48,1,0
Progressive,Lens Allocated,Durgapur,1,35,72,2,0
Progressive,Lens Allocated,Kolkata,0,92,72,3,0
Bifocal,Order Placed,Bangalore,1,79,48,2,0
Single Vision,Prescription Verified,Bangalore,0,36,24,3,1
Single Vision,Packed,Delhi,0,39,24,5,1
Progressive,QC,Kolkata,1,89,72,4,1
Progressive,Prescription Verified,Bangalore,0,4,72,0,1
Single Vision,Production,Delhi,0,69,24,4,1
Single Vision,Packed,Delhi,1,62,24,0,0
Progressive,Production,Delhi,1,66,72,1,1
Bifocal,Packed,Delhi,0,52,48,2,1
Single Vision,Production,Delhi,0,24,24,3,1
Progressive,Prescription Verified,Bangalore,0,86,72,4,1
Progressive,Order Placed,Mumbai,1,11,72,2,0
Single Vision,Prescription Verified,Mumbai,0,86,24,1,1
Progressive,Order Placed,Bangalore,0,21,72,4,1
Progressive,Lens Allocated,Kolkata,0,70,72,4,1
Progressive,Production,Delhi,1,68,72,2,1
Progressive,QC,Durgapur,0,60,72,0,1
Progressive,Prescription Verified,Kolkata,0,83,72,1,1
Progressive,Order Placed,Durgapur,1,20,72,2,0
Bifocal,QC,Bangalore,0,55,48,2,1
Single Vision,Lens Allocated,Bangalore,0,96,24,5,1
Single Vision,Production,Delhi,0,74,24,0,1
Bifocal,Production,Delhi,1,52,48,3,1
Single Vision,QC,Delhi,1,60,24,0,0
Bifocal,Order Placed,Kolkata,0,52,48,5,1
Bifocal,Production,Durgapur,0,48,48,4,1
Bifocal,Production,Durgapur,1,45,48,1,1
Progressive,Shipped,Bangalore,1,13,72,5,0
Progressive,Prescription Verified,Durgapur,1,4,72,4,0
Bifocal,Lens Allocated,Mumbai,0,31,48,5,1
Single Vision,Packed,Delhi,1,32,24,4,1
Single Vision,QC,Bangalore,0,98,24,3,1
Single Vision,Packed,Kolkata,1,22,24,1,1
Bifocal,Order Placed,Mumbai,1,80,48,3,1
Bifocal,Order Placed,Kolkata,0,34,48,4,1
Bifocal,Prescription Verified,Bangalore,1,81,48,4,1
Bifocal,Prescription Verified,Delhi,1,55,48,3,1
Single Vision,Packed,Delhi,1,11,24,5,0
Bifocal,Order Placed,Mumbai,1,62,48,2,0
Bifocal,Order Placed,Delhi,0,76,48,1,1
Single Vision,QC,Mumbai,0,96,24,0,1
Progressive,QC,Bangalore,1,64,72,4,1
Progressive,Shipped,Mumbai,1,39,72,1,0
Bifocal,Lens Allocated,Delhi,0,4,48,4,1
Single Vision,Shipped,Delhi,0,21,24,2,1
Single Vision,Packed,Kolkata,0,97,24,1,1
Progressive,Production,Mumbai,1,58,72,3,1
Progressive,Lens Allocated,Kolkata,0,18,72,1,0
Single Vision,Shipped,Mumbai,1,12,24,4,1
Single Vision,Production,Mumbai,0,40,24,5,1
Progressive,QC,Kolkata,0,97,72,0,1
Bifocal,Lens Allocated,Kolkata,0,26,48,3,1
Progressive,Production,Mumbai,1,3,72,2,0
Progressive,Packed,Mumbai,1,72,72,2,1
Progressive,Prescription Verified,Delhi,1,12,72,4,0
Single Vision,Packed,Mumbai,0,34,24,3,1
Single Vision,Production,Mumbai,0,28,24,5,1
Bifocal,Order Placed,Durgapur,1,34,48,2,0
Progressive,Lens Allocated,Durgapur,1,6,72,3,0
Progressive,Lens Allocated,Delhi,1,90,72,2,1
Bifocal,Prescription Verified,Kolkata,0,45,48,3,1
Bifocal,Order Placed,Bangalore,0,62,48,0,1
Single Vision,Shipped,Durgapur,1,54,24,3,1
Bifocal,QC,Bangalore,1,83,48,3,1
Single Vision,Packed,Bangalore,0,78,24,5,0
Single Vision,Order Placed,Bangalore,0,45,24,1,1
Progressive,Shipped,Mumbai,1,79,72,2,1
Single Vision,Lens Allocated,Durgapur,0,9,24,1,1
Progressive,Shipped,Mumbai,0,86,72,3,1
Single Vision,Packed,Kolkata,1,59,24,5,1
Single Vision,Production,Durgapur,1,25,24,0,1
